geo,siec,year,value
SK,electricity,2014,422.786
TR,electricity,2014,3971.625
XK,electricity,2014,219.69
AL,"natural gas",2014,NULL
AT,"natural gas",2014,1251.537
BA,"natural gas",2014,26.87
BE,"natural gas",2014,2914.752
BG,"natural gas",2014,45.186
CY,"natural gas",2014,NULL
CZ,"natural gas",2014,1645.013
DE,"natural gas",2014,18298.055
DK,"natural gas",2014,565.667
EE,"natural gas",2014,52.214
EL,"natural gas",2014,231.578
ES,"natural gas",2014,3094.346
FI,"natural gas",2014,28.676
FR,"natural gas",2014,10840.899
GE,"natural gas",2014,503.09
HR,"natural gas",2014,433.126
HU,"natural gas",2014,2320.679
IE,"natural gas",2014,534.59
IS,"natural gas",2014,NULL
IT,"natural gas",2014,15150.838
LT,"natural gas",2014,119.991
LU,"natural gas",2014,203.107
LV,"natural gas",2014,101.333
MD,"natural gas",2014,215.219
ME,"natural gas",2014,NULL
MK,"natural gas",2014,0.043
MT,"natural gas",2014,NULL
NL,"natural gas",2014,6393.981
NO,"natural gas",2014,3.801
PL,"natural gas",2014,3143.1
PT,"natural gas",2014,258.147
RO,"natural gas",2014,2173.259
RS,"natural gas",2014,142.568
SE,"natural gas",2014,29.127
SI,"natural gas",2014,88.564
SK,"natural gas",2014,1037.059
TR,"natural gas",2014,7660.383
XK,"natural gas",2014,NULL
AL,"district heating",2014,NULL
AT,"district heating",2014,684.141
BA,"district heating",2014,83.739
BE,"district heating",2014,9.274
BG,"district heating",2014,310.739
CY,"district heating",2014,NULL
CZ,"district heating",2014,1006.043
DE,"district heating",2014,3662.511
DK,"district heating",2014,1510.246
EE,"district heating",2014,298.366
EL,"district heating",2014,49.513
ES,"district heating",2014,NULL
FI,"district heating",2014,1572.49
FR,"district heating",2014,1032.156
GE,"district heating",2014,NULL
HR,"district heating",2014,114.336
HU,"district heating",2014,433.386
IE,"district heating",2014,NULL
IS,"district heating",2014,296.623
IT,"district heating",2014,818.382
LT,"district heating",2014,440.002
LU,"district heating",2014,NULL
LV,"district heating",2014,350.65
MD,"district heating",2014,106.788
ME,"district heating",2014,NULL
MK,"district heating",2014,27.252
MT,"district heating",2014,NULL
NL,"district heating",2014,260.772
NO,"district heating",2014,85.962
PL,"district heating",2014,3893.188
PT,"district heating",2014,0.908
RO,"district heating",2014,799.107
RS,"district heating",2014,358.054
SE,"district heating",2014,2447.645
SI,"district heating",2014,66.829
SK,"district heating",2014,427.677
TR,"district heating",2014,NULL
XK,"district heating",2014,2.651
AL,"heating oil",2014,89.27
AT,"heating oil",2014,26.196
BA,"heating oil",2014,8.96
BE,"heating oil",2014,115.363
BG,"heating oil",2014,23.073
CY,"heating oil",2014,35.022
CZ,"heating oil",2014,44.984
DE,"heating oil",2014,713.823
DK,"heating oil",2014,13.184
EE,"heating oil",2014,4.347
EL,"heating oil",2014,86.797
ES,"heating oil",2014,1095.849
FI,"heating oil",2014,4.423
FR,"heating oil",2014,922.017
GE,"heating oil",2014,17.579
HR,"heating oil",2014,52.638
HU,"heating oil",2014,72.967
IE,"heating oil",2014,35.967
IS,"heating oil",2014,1.123
IT,"heating oil",2014,1080.013
LT,"heating oil",2014,35.479
LU,"heating oil",2014,0.499
LV,"heating oil",2014,23.929
MD,"heating oil",2014,63.818
ME,"heating oil",2014,1.12
MK,"heating oil",2014,6.702
MT,"heating oil",2014,14.283
NL,"heating oil",2014,23.749
NO,"heating oil",2014,8.809
PL,"heating oil",2014,510.891
PT,"heating oil",2014,409.812
RO,"heating oil",2014,209.247
RS,"heating oil",2014,39.55
SE,"heating oil",2014,6.647
SI,"heating oil",2014,24.197
SK,"heating oil",2014,4.395
TR,"heating oil",2014,905.305
XK,"heating oil",2014,7.694
AL,"other petroleum products",2014,NULL
AT,"other petroleum products",2014,NULL
BA,"other petroleum products",2014,NULL
BE,"other petroleum products",2014,27.114
BG,"other petroleum products",2014,NULL
CY,"other petroleum products",2014,9.415
CZ,"other petroleum products",2014,NULL
DE,"other petroleum products",2014,2.045
DK,"other petroleum products",2014,NULL
EE,"other petroleum products",2014,NULL
EL,"other petroleum products",2014,3.081
ES,"other petroleum products",2014,NULL
FI,"other petroleum products",2014,NULL
FR,"other petroleum products",2014,141.7
GE,"other petroleum products",2014,NULL
HR,"other petroleum products",2014,NULL
HU,"other petroleum products",2014,NULL
IE,"other petroleum products",2014,687.105
IS,"other petroleum products",2014,NULL
IT,"other petroleum products",2014,4.108
LT,"other petroleum products",2014,NULL
LU,"other petroleum products",2014,0.431
LV,"other petroleum products",2014,NULL
MD,"other petroleum products",2014,NULL
ME,"other petroleum products",2014,NULL
MK,"other petroleum products",2014,NULL
MT,"other petroleum products",2014,NULL
NL,"other petroleum products",2014,6.177
NO,"other petroleum products",2014,28.824
PL,"other petroleum products",2014,NULL
PT,"other petroleum products",2014,NULL
RO,"other petroleum products",2014,2.053
RS,"other petroleum products",2014,NULL
SE,"other petroleum products",2014,NULL
SI,"other petroleum products",2014,NULL
SK,"other petroleum products",2014,NULL
TR,"other petroleum products",2014,35.569
XK,"other petroleum products",2014,NULL
AL,"domestic heating oil",2014,NULL
AT,"domestic heating oil",2014,953.79
BA,"domestic heating oil",2014,76.508
BE,"domestic heating oil",2014,2167.24
BG,"domestic heating oil",2014,1.01
CY,"domestic heating oil",2014,58.276
CZ,"domestic heating oil",2014,NULL
DE,"domestic heating oil",2014,11526.642
DK,"domestic heating oil",2014,195.952
EE,"domestic heating oil",2014,4.041
EL,"domestic heating oil",2014,961.522
ES,"domestic heating oil",2014,1608.34
FI,"domestic heating oil",2014,355.976
FR,"domestic heating oil",2014,4784.375
GE,"domestic heating oil",2014,NULL
HR,"domestic heating oil",2014,69.368
HU,"domestic heating oil",2014,NULL
IE,"domestic heating oil",2014,257.468
IS,"domestic heating oil",2014,2.054
IT,"domestic heating oil",2014,1157.896
LT,"domestic heating oil",2014,11.316
LU,"domestic heating oil",2014,152.646
LV,"domestic heating oil",2014,25.371
MD,"domestic heating oil",2014,NULL
ME,"domestic heating oil",2014,NULL
MK,"domestic heating oil",2014,4.103
MT,"domestic heating oil",2014,1.027
NL,"domestic heating oil",2014,7.223
NO,"domestic heating oil",2014,66.791
PL,"domestic heating oil",2014,72.394
PT,"domestic heating oil",2014,58.541
RO,"domestic heating oil",2014,NULL
RS,"domestic heating oil",2014,3.133
SE,"domestic heating oil",2014,105.832
SI,"domestic heating oil",2014,124.127
SK,"domestic heating oil",2014,NULL
TR,"domestic heating oil",2014,NULL
XK,"domestic heating oil",2014,4.146
AL,renewables/biomass,2014,160.003
AT,renewables/biomass,2014,1623.582
BA,renewables/biomass,2014,321.057
BE,renewables/biomass,2014,456.898
BG,renewables/biomass,2014,733.305
CY,renewables/biomass,2014,4.389
CZ,renewables/biomass,2014,1726.378
DE,renewables/biomass,2014,5798.629
DK,renewables/biomass,2014,835.517
EE,renewables/biomass,2014,371.477
EL,renewables/biomass,2014,749.976
ES,renewables/biomass,2014,2510.318
FI,renewables/biomass,2014,1267.269
FR,renewables/biomass,2014,5858.735
GE,renewables/biomass,2014,456.936
HR,renewables/biomass,2014,1009.219
HU,renewables/biomass,2014,1651.333
IE,renewables/biomass,2014,26.175
IS,renewables/biomass,2014,NULL
IT,renewables/biomass,2014,5631.389
LT,renewables/biomass,2014,508.288
LU,renewables/biomass,2014,21.141
LV,renewables/biomass,2014,565.826
MD,renewables/biomass,2014,601.103
ME,renewables/biomass,2014,149.924
MK,renewables/biomass,2014,222.772
MT,renewables/biomass,2014,1.075
NL,renewables/biomass,2014,397.146
NO,renewables/biomass,2014,415.425
PL,renewables/biomass,2014,2518.63
PT,renewables/biomass,2014,759.649
RO,renewables/biomass,2014,3119.041
RS,renewables/biomass,2014,851.462
SE,renewables/biomass,2014,905.632
SI,renewables/biomass,2014,457.175
SK,renewables/biomass,2014,408.904
TR,renewables/biomass,2014,3115.004
XK,renewables/biomass,2014,230.63
AL,"solar thermal",2014,5.374
AT,"solar thermal",2014,117.079
BA,"solar thermal",2014,NULL
BE,"solar thermal",2014,20.71
BG,"solar thermal",2014,9.434
CY,"solar thermal",2014,56.774
CZ,"solar thermal",2014,11.526
DE,"solar thermal",2014,590.714
DK,"solar thermal",2014,11.461
EE,"solar thermal",2014,NULL
EL,"solar thermal",2014,242.476
ES,"solar thermal",2014,183.79
FI,"solar thermal",2014,1.361
FR,"solar thermal",2014,141.07
GE,"solar thermal",2014,NULL
HR,"solar thermal",2014,6.544
HU,"solar thermal",2014,9.482
IE,"solar thermal",2014,10.579
IS,"solar thermal",2014,NULL
IT,"solar thermal",2014,132.87
LT,"solar thermal",2014,NULL
LU,"solar thermal",2014,1.76
LV,"solar thermal",2014,NULL
MD,"solar thermal",2014,NULL
ME,"solar thermal",2014,NULL
MK,"solar thermal",2014,NULL
MT,"solar thermal",2014,4.639
NL,"solar thermal",2014,21.544
NO,"solar thermal",2014,NULL
PL,"solar thermal",2014,29.975
PT,"solar thermal",2014,46.121
RO,"solar thermal",2014,NULL
RS,"solar thermal",2014,NULL
SE,"solar thermal",2014,11.178
SI,"solar thermal",2014,10.232
SK,"solar thermal",2014,4.61
TR,"solar thermal",2014,523.001
XK,"solar thermal",2014,0.096
AL,"heat pumps",2014,NULL
AT,"heat pumps",2014,104.691
BA,"heat pumps",2014,NULL
BE,"heat pumps",2014,33.422
BG,"heat pumps",2014,NULL
CY,"heat pumps",2014,1.552
CZ,"heat pumps",2014,75.595
DE,"heat pumps",2014,775.652
DK,"heat pumps",2014,117.742
EE,"heat pumps",2014,NULL
EL,"heat pumps",2014,NULL
ES,"heat pumps",2014,74.14
FI,"heat pumps",2014,NULL
FR,"heat pumps",2014,1447.543
GE,"heat pumps",2014,NULL
HR,"heat pumps",2014,12.403
HU,"heat pumps",2014,NULL
IE,"heat pumps",2014,14.36
IS,"heat pumps",2014,NULL
IT,"heat pumps",2014,NULL
LT,"heat pumps",2014,NULL
LU,"heat pumps",2014,1.022
LV,"heat pumps",2014,NULL
MD,"heat pumps",2014,NULL
ME,"heat pumps",2014,NULL
MK,"heat pumps",2014,NULL
MT,"heat pumps",2014,NULL
NL,"heat pumps",2014,36.316
NO,"heat pumps",2014,385.631
PL,"heat pumps",2014,97.151
PT,"heat pumps",2014,211.258
RO,"heat pumps",2014,NULL
RS,"heat pumps",2014,NULL
SE,"heat pumps",2014,NULL
SI,"heat pumps",2014,20.066
SK,"heat pumps",2014,NULL
TR,"heat pumps",2014,NULL
XK,"heat pumps",2014,NULL
AL,TOTAL,2014,556.243
AT,TOTAL,2014,6239.87
BA,TOTAL,2014,980.816
BE,TOTAL,2014,7442.63
