freq,nrg_bal,siec,unit,geo,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A,FC_OTH_HH_E,O4630,KTOE,AT,30.651,26.196,26.477,26.479,32.026,29.458,30.086,30.726,32.354,27.517,23.505,22.042
A,FC_OTH_HH_E,O4630,KTOE,BA,,8.96,7.84,8.96,10.08,5.22,4.492,6.568,6.674,7.354,7.118,8.204
A,FC_OTH_HH_E,O4630,KTOE,BE,132.942,115.363,118.659,129.646,133.93,133.381,127.448,144.155,156.582,135.569,132.293,145.963
A,FC_OTH_HH_E,O4630,KTOE,BG,24.171,23.073,34.059,27.467,24.159,21.989,19.474,19.986,20.573,17.073,12.778,11.989
A,FC_OTH_HH_E,O4630,KTOE,CY,37.281,35.022,38.411,39.541,36.679,32.139,36.317,35.369,37.805,39.744,37.956,38.016
A,FC_OTH_HH_E,O4630,KTOE,CZ,38.707,44.984,44.984,44.984,44.984,50.215,44.984,48.123,48.123,44.984,53.353,54.4
A,FC_OTH_HH_E,O4630,KTOE,DE,860.855,713.823,587.283,754.114,565.843,865.225,787.036,870.369,790.122,866.254,562.756,862.138
A,FC_OTH_HH_E,O4630,KTOE,DK,16.48,13.184,17.917,19.749,21.112,21.033,20.157,19.587,20.661,21.191,21.569,22.727
A,FC_OTH_HH_E,O4630,KTOE,EE,3.26,4.347,5.434,7.607,7.607,6.52,7.249,4.347,3.695,2.173,3.26,0.0
A,FC_OTH_HH_E,O4630,KTOE,EL,60.428,86.797,79.106,76.908,81.191,81.693,80.335,81.446,105.844,116.144,108.477,109.627
